cefr	headword	part_of_speech	page	source
A1	a, an	indefinite article	1	The Oxford 3000 by CEFR level
A1	about	prep., adv.	1	The Oxford 3000 by CEFR level
A1	above	prep., adv.	1	The Oxford 3000 by CEFR level
A1	across	prep., adv.	1	The Oxford 3000 by CEFR level
A1	action	n.	1	The Oxford 3000 by CEFR level
A1	activity	n.	1	The Oxford 3000 by CEFR level
A1	actor	n.	1	The Oxford 3000 by CEFR level
A1	actress	n.	1	The Oxford 3000 by CEFR level
A1	add	v.	1	The Oxford 3000 by CEFR level
A1	address	n.	1	The Oxford 3000 by CEFR level
A1	adult	n.	1	The Oxford 3000 by CEFR level
A1	advice	n.	1	The Oxford 3000 by CEFR level
A1	afraid	adj.	1	The Oxford 3000 by CEFR level
A1	after	prep.	1	The Oxford 3000 by CEFR level
A1	afternoon	n.	1	The Oxford 3000 by CEFR level
A1	again	adv.	1	The Oxford 3000 by CEFR level
A1	age	n.	1	The Oxford 3000 by CEFR level
A1	ago	adv.	1	The Oxford 3000 by CEFR level
A1	agree	v.	1	The Oxford 3000 by CEFR level
A1	air	n.	1	The Oxford 3000 by CEFR level
A1	airport	n.	1	The Oxford 3000 by CEFR level
A1	all	det., pron.	1	The Oxford 3000 by CEFR level
A1	also	adv.	1	The Oxford 3000 by CEFR level
A1	always	adv.	1	The Oxford 3000 by CEFR level
A1	amazing	adj.	1	The Oxford 3000 by CEFR level
A1	and	conj.	1	The Oxford 3000 by CEFR level
A1	angry	adj.	1	The Oxford 3000 by CEFR level
A1	animal	n.	1	The Oxford 3000 by CEFR level
A1	another det./pron. answer	n., v.	1	The Oxford 3000 by CEFR level
A1	any	det., pron.	1	The Oxford 3000 by CEFR level
A1	anyone	pron.	1	The Oxford 3000 by CEFR level
A1	anything	pron.	1	The Oxford 3000 by CEFR level
A1	apartment	n.	1	The Oxford 3000 by CEFR level
A1	apple	n.	1	The Oxford 3000 by CEFR level
A1	April	n.	1	The Oxford 3000 by CEFR level
A1	area	n.	1	The Oxford 3000 by CEFR level
A1	arm	n.	1	The Oxford 3000 by CEFR level
A1	around	prep., adv.	1	The Oxford 3000 by CEFR level
A1	arrive	v.	1	The Oxford 3000 by CEFR level
A1	art	n.	1	The Oxford 3000 by CEFR level
A1	article	n.	1	The Oxford 3000 by CEFR level
A1	artist	n.	1	The Oxford 3000 by CEFR level
A1	as	prep.	1	The Oxford 3000 by CEFR level
A1	ask	v.	1	The Oxford 3000 by CEFR level
A1	at	prep.	1	The Oxford 3000 by CEFR level
A1	August	n.	1	The Oxford 3000 by CEFR level
A1	aunt	n.	1	The Oxford 3000 by CEFR level
A1	autumn	n.	1	The Oxford 3000 by CEFR level
A1	away	adv.	1	The Oxford 3000 by CEFR level
A1	baby	n.	1	The Oxford 3000 by CEFR level
A1	back	n., adv.	1	The Oxford 3000 by CEFR level
A1	bad	adj.	1	The Oxford 3000 by CEFR level
A1	bag	n.	1	The Oxford 3000 by CEFR level
A1	ball	n.	1	The Oxford 3000 by CEFR level
A1	banana	n.	1	The Oxford 3000 by CEFR level
A1	band	n.	1	The Oxford 3000 by CEFR level
A1	bank (money)	n.	1	The Oxford 3000 by CEFR level
A1	bath	n.	1	The Oxford 3000 by CEFR level
A1	even	adv.	2	The Oxford 3000 by CEFR level
A1	evening	n.	2	The Oxford 3000 by CEFR level
A1	event	n.	2	The Oxford 3000 by CEFR level
A1	ever	adv.	2	The Oxford 3000 by CEFR level
A1	every	det.	2	The Oxford 3000 by CEFR level
A1	everybody	pron.	2	The Oxford 3000 by CEFR level
A1	everyone	pron.	2	The Oxford 3000 by CEFR level
A1	everything	pron.	2	The Oxford 3000 by CEFR level
A1	exam	n.	2	The Oxford 3000 by CEFR level
A1	example	n.	2	The Oxford 3000 by CEFR level
A1	excited	adj.	2	The Oxford 3000 by CEFR level
A1	exciting	adj.	2	The Oxford 3000 by CEFR level
A1	exercise	n., v.	2	The Oxford 3000 by CEFR level
A1	expensive	adj.	2	The Oxford 3000 by CEFR level
A1	explain	v.	2	The Oxford 3000 by CEFR level
A1	extra	adj.	2	The Oxford 3000 by CEFR level
A1	eye	n.	2	The Oxford 3000 by CEFR level
A1	face	n.	2	The Oxford 3000 by CEFR level
A1	fact	n.	2	The Oxford 3000 by CEFR level
A1	fall	v.	2	The Oxford 3000 by CEFR level
A1	false	adj.	2	The Oxford 3000 by CEFR level
A1	family	n., adj.	2	The Oxford 3000 by CEFR level
A1	famous	adj.	2	The Oxford 3000 by CEFR level
A1	fantastic	adj.	2	The Oxford 3000 by CEFR level
A1	far	adv.	2	The Oxford 3000 by CEFR level
A1	farm	n.	2	The Oxford 3000 by CEFR level
A1	farmer	n.	2	The Oxford 3000 by CEFR level
A1	fast	adj., adv.	2	The Oxford 3000 by CEFR level
A1	fat	adj.	2	The Oxford 3000 by CEFR level
A1	father	n.	2	The Oxford 3000 by CEFR level
A1	favourite	adj., n.	2	The Oxford 3000 by CEFR level
A1	February	n.	2	The Oxford 3000 by CEFR level
A1	feel	v.	2	The Oxford 3000 by CEFR level
A1	feeling	n.	2	The Oxford 3000 by CEFR level
A1	festival	n.	2	The Oxford 3000 by CEFR level
A1	few det./adj.	pron.	2	The Oxford 3000 by CEFR level
A1	fifteen	number	2	The Oxford 3000 by CEFR level
A1	fifth	number	2	The Oxford 3000 by CEFR level
A1	fifty	number	2	The Oxford 3000 by CEFR level
A1	fill	v.	2	The Oxford 3000 by CEFR level
A1	film	n.	2	The Oxford 3000 by CEFR level
A1	final	adj.	2	The Oxford 3000 by CEFR level
A1	find	v.	2	The Oxford 3000 by CEFR level
A1	fine	adj.	2	The Oxford 3000 by CEFR level
A1	finish	v.	2	The Oxford 3000 by CEFR level
A1	fire	n.	2	The Oxford 3000 by CEFR level
A1	first det./number	adv.	2	The Oxford 3000 by CEFR level
A1	fish	n.	2	The Oxford 3000 by CEFR level
A1	five	number	2	The Oxford 3000 by CEFR level
A1	flat	n.	2	The Oxford 3000 by CEFR level
A1	flight	n.	2	The Oxford 3000 by CEFR level
A1	floor	n.	2	The Oxford 3000 by CEFR level
A1	flower	n.	2	The Oxford 3000 by CEFR level
A1	fly	v.	2	The Oxford 3000 by CEFR level
A1	follow	v.	2	The Oxford 3000 by CEFR level
A1	food	n.	2	The Oxford 3000 by CEFR level
A1	foot	n.	2	The Oxford 3000 by CEFR level
A1	football	n.	2	The Oxford 3000 by CEFR level
A1	for	prep.	2	The Oxford 3000 by CEFR level
A1	forget	v.	2	The Oxford 3000 by CEFR level
A1	form	n., v.	2	The Oxford 3000 by CEFR level
A1	forty	number	2	The Oxford 3000 by CEFR level
A1	four	number	2	The Oxford 3000 by CEFR level
A1	fourteen	number	2	The Oxford 3000 by CEFR level
A1	fourth	number	2	The Oxford 3000 by CEFR level
A1	free	adj.	2	The Oxford 3000 by CEFR level
A1	Friday	n.	2	The Oxford 3000 by CEFR level
A1	friend	n.	2	The Oxford 3000 by CEFR level
A1	friendly	adj.	2	The Oxford 3000 by CEFR level
A1	from	prep.	2	The Oxford 3000 by CEFR level
A1	front	n., adj.	2	The Oxford 3000 by CEFR level
A1	fruit	n.	2	The Oxford 3000 by CEFR level
A1	full	adj.	2	The Oxford 3000 by CEFR level
A1	fun	n.	2	The Oxford 3000 by CEFR level
A1	funny	adj.	2	The Oxford 3000 by CEFR level
A1	future	n.	2	The Oxford 3000 by CEFR level
A1	game	n.	2	The Oxford 3000 by CEFR level
A1	garden	n.	2	The Oxford 3000 by CEFR level
A1	geography	n.	2	The Oxford 3000 by CEFR level
A1	get	v.	2	The Oxford 3000 by CEFR level
A1	girl	n.	2	The Oxford 3000 by CEFR level
A1	girlfriend	n.	2	The Oxford 3000 by CEFR level
A1	give	v.	2	The Oxford 3000 by CEFR level
A1	glass	n.	2	The Oxford 3000 by CEFR level
A1	go	v.	2	The Oxford 3000 by CEFR level
A1	good	adj.	2	The Oxford 3000 by CEFR level
A1	goodbye	exclam./n.	2	The Oxford 3000 by CEFR level
A1	grandfather	n.	2	The Oxford 3000 by CEFR level
A1	grandmother	n.	2	The Oxford 3000 by CEFR level
A1	grandparent	n.	2	The Oxford 3000 by CEFR level
A1	great	adj.	2	The Oxford 3000 by CEFR level
A1	green	adj., n.	2	The Oxford 3000 by CEFR level
A1	grey	adj., n.	2	The Oxford 3000 by CEFR level
A1	group	n.	2	The Oxford 3000 by CEFR level
A1	grow	v.	2	The Oxford 3000 by CEFR level
A1	guess	v., n.	2	The Oxford 3000 by CEFR level
A1	guitar	n.	2	The Oxford 3000 by CEFR level
A1	gym	n.	2	The Oxford 3000 by CEFR level
A1	hair	n.	2	The Oxford 3000 by CEFR level
A1	half n., det./pron. hand	n.	2	The Oxford 3000 by CEFR level
A1	happen	v.	2	The Oxford 3000 by CEFR level
A1	happy	adj.	2	The Oxford 3000 by CEFR level
A1	hard	adj., adv.	2	The Oxford 3000 by CEFR level
A1	hat	n.	2	The Oxford 3000 by CEFR level
A1	hate	v.	2	The Oxford 3000 by CEFR level
A1	have	v.	2	The Oxford 3000 by CEFR level
A1	have to	modal v.	2	The Oxford 3000 by CEFR level
A1	he	pron.	2	The Oxford 3000 by CEFR level
A1	head	n.	2	The Oxford 3000 by CEFR level
A1	health	n.	2	The Oxford 3000 by CEFR level
A1	healthy	adj.	2	The Oxford 3000 by CEFR level
A1	hear	v.	2	The Oxford 3000 by CEFR level
A1	hello	exclam./n.	2	The Oxford 3000 by CEFR level
A1	help	v., n.	2	The Oxford 3000 by CEFR level
A1	her	pron., det.	2	The Oxford 3000 by CEFR level
A1	here	adv.	2	The Oxford 3000 by CEFR level
A1	hey	exclam.	2	The Oxford 3000 by CEFR level
A1	hi	exclam.	2	The Oxford 3000 by CEFR level
A1	high	adj.	2	The Oxford 3000 by CEFR level
A1	him	pron.	2	The Oxford 3000 by CEFR level
A1	his	det.	2	The Oxford 3000 by CEFR level
A1	history	n.	2	The Oxford 3000 by CEFR level
A1	hobby	n.	2	The Oxford 3000 by CEFR level
A1	holiday	n.	2	The Oxford 3000 by CEFR level
A1	home	n., adv.	2	The Oxford 3000 by CEFR level
A1	homework	n.	2	The Oxford 3000 by CEFR level
A1	hope	v.	2	The Oxford 3000 by CEFR level
