cefr	headword	part_of_speech	page	source
B2	absorb	v.	1	Oxford 5000 by CEFR Level (American English)
B2	abstract	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	accent	n.	1	Oxford 5000 by CEFR Level (American English)
B2	accidentally	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	accommodate	v.	1	Oxford 5000 by CEFR Level (American English)
B2	accommodation	n.	1	Oxford 5000 by CEFR Level (American English)
B2	accomplish	v.	1	Oxford 5000 by CEFR Level (American English)
B2	accountant	n.	1	Oxford 5000 by CEFR Level (American English)
B2	accuracy	n.	1	Oxford 5000 by CEFR Level (American English)
B2	accurately	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	acid	n.	1	Oxford 5000 by CEFR Level (American English)
B2	acre	n.	1	Oxford 5000 by CEFR Level (American English)
B2	activate	v.	1	Oxford 5000 by CEFR Level (American English)
B2	addiction	n.	1	Oxford 5000 by CEFR Level (American English)
B2	additionally	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	adequate	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	adequately	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	adjust	v.	1	Oxford 5000 by CEFR Level (American English)
B2	affordable	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	aged	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	agriculture	n.	1	Oxford 5000 by CEFR Level (American English)
B2	AIDS	n.	1	Oxford 5000 by CEFR Level (American English)
B2	alien	n.	1	Oxford 5000 by CEFR Level (American English)
B2	alongside	prep.	1	Oxford 5000 by CEFR Level (American English)
B2	altogether	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	ambitious	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	ambulance	n.	1	Oxford 5000 by CEFR Level (American English)
B2	amusing	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	analyst	n.	1	Oxford 5000 by CEFR Level (American English)
B2	ancestor	n.	1	Oxford 5000 by CEFR Level (American English)
B2	animation	n.	1	Oxford 5000 by CEFR Level (American English)
B2	annually	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	anticipate	v.	1	Oxford 5000 by CEFR Level (American English)
B2	anxiety	n.	1	Oxford 5000 by CEFR Level (American English)
B2	apology	n.	1	Oxford 5000 by CEFR Level (American English)
B2	applicant	n.	1	Oxford 5000 by CEFR Level (American English)
B2	appropriately	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	arrow	n.	1	Oxford 5000 by CEFR Level (American English)
B2	artwork	n.	1	Oxford 5000 by CEFR Level (American English)
B2	asset	n.	1	Oxford 5000 by CEFR Level (American English)
B2	assign	v.	1	Oxford 5000 by CEFR Level (American English)
B2	assistance	n.	1	Oxford 5000 by CEFR Level (American English)
B2	assumption	n.	1	Oxford 5000 by CEFR Level (American English)
B2	assure	v.	1	Oxford 5000 by CEFR Level (American English)
B2	astonishing	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	athletic	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	attachment	n.	1	Oxford 5000 by CEFR Level (American English)
B2	audio	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	awareness	n.	1	Oxford 5000 by CEFR Level (American English)
B2	awkward	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	badge	n.	1	Oxford 5000 by CEFR Level (American English)
B2	balanced	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	ballet	n.	1	Oxford 5000 by CEFR Level (American English)
B2	balloon	n.	1	Oxford 5000 by CEFR Level (American English)
B2	barely	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	bargain	n.	1	Oxford 5000 by CEFR Level (American English)
B2	basement	n.	1	Oxford 5000 by CEFR Level (American English)
B2	basket	n.	1	Oxford 5000 by CEFR Level (American English)
B2	bat	n.	1	Oxford 5000 by CEFR Level (American English)
B2	beneficial	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	beside	prep.	1	Oxford 5000 by CEFR Level (American English)
B2	besides	prep., adv.	1	Oxford 5000 by CEFR Level (American English)
B2	bias	n.	1	Oxford 5000 by CEFR Level (American English)
B2	bid	n., v.	1	Oxford 5000 by CEFR Level (American English)
B2	biological	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	blanket	n.	1	Oxford 5000 by CEFR Level (American English)
B2	blow	n.	1	Oxford 5000 by CEFR Level (American English)
B2	bold	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	bombing	n.	1	Oxford 5000 by CEFR Level (American English)
B2	boost	v., n.	1	Oxford 5000 by CEFR Level (American English)
B2	bound	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	brick	n.	1	Oxford 5000 by CEFR Level (American English)
B2	briefly	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	broadcaster	n.	1	Oxford 5000 by CEFR Level (American English)
B2	broadly	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	buck	n.	1	Oxford 5000 by CEFR Level (American English)
B2	bug	n.	1	Oxford 5000 by CEFR Level (American English)
B2	cabin	n.	1	Oxford 5000 by CEFR Level (American English)
B2	canal	n.	1	Oxford 5000 by CEFR Level (American English)
B2	candle	n.	1	Oxford 5000 by CEFR Level (American English)
B2	carbon	n.	1	Oxford 5000 by CEFR Level (American English)
B2	castle	n. B2	1	Oxford 5000 by CEFR Level (American English)
B2	casual	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	cave	n.	1	Oxford 5000 by CEFR Level (American English)
B2	certainty	n.	1	Oxford 5000 by CEFR Level (American English)
B2	certificate	n.	1	Oxford 5000 by CEFR Level (American English)
B2	challenging	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	championship	n.	1	Oxford 5000 by CEFR Level (American English)
B2	charming	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	chase	v., n.	1	Oxford 5000 by CEFR Level (American English)
B2	cheek	n.	1	Oxford 5000 by CEFR Level (American English)
B2	cheer	v., n.	1	Oxford 5000 by CEFR Level (American English)
B2	chop	v.	1	Oxford 5000 by CEFR Level (American English)
B2	circuit	n.	1	Oxford 5000 by CEFR Level (American English)
B2	civilization	n.	1	Oxford 5000 by CEFR Level (American English)
B2	clarify	v.	1	Oxford 5000 by CEFR Level (American English)
B2	classify	v.	1	Oxford 5000 by CEFR Level (American English)
B2	cliff	n.	1	Oxford 5000 by CEFR Level (American English)
B2	clinic	n.	1	Oxford 5000 by CEFR Level (American English)
B2	clip	n.	1	Oxford 5000 by CEFR Level (American English)
B2	coincidence	n.	1	Oxford 5000 by CEFR Level (American English)
B2	collector	n.	1	Oxford 5000 by CEFR Level (American English)
B2	colony	n.	1	Oxford 5000 by CEFR Level (American English)
B2	colorful	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	comic	adj., n.	1	Oxford 5000 by CEFR Level (American English)
B2	commander	n.	1	Oxford 5000 by CEFR Level (American English)
B2	comparative	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	completion	n.	1	Oxford 5000 by CEFR Level (American English)
B2	compose	v.	1	Oxford 5000 by CEFR Level (American English)
B2	composer	n.	1	Oxford 5000 by CEFR Level (American English)
B2	compound	n.	1	Oxford 5000 by CEFR Level (American English)
B2	comprehensive	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	comprise	v.	1	Oxford 5000 by CEFR Level (American English)
B2	compulsory	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	concrete	adj., n.	1	Oxford 5000 by CEFR Level (American English)
B2	confess	v.	1	Oxford 5000 by CEFR Level (American English)
B2	confusion	n.	1	Oxford 5000 by CEFR Level (American English)
B2	consequently	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	conservation	n.	1	Oxford 5000 by CEFR Level (American English)
B2	considerable	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	considerably	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	consistently	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	conspiracy	n.	1	Oxford 5000 by CEFR Level (American English)
B2	consult	v.	1	Oxford 5000 by CEFR Level (American English)
B2	consultant	n.	1	Oxford 5000 by CEFR Level (American English)
B2	consumption	n.	1	Oxford 5000 by CEFR Level (American English)
B2	controversial	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	controversy	n.	1	Oxford 5000 by CEFR Level (American English)
B2	convenience	n.	1	Oxford 5000 by CEFR Level (American English)
B2	convention	n.	1	Oxford 5000 by CEFR Level (American English)
B2	conventional	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	convey	v.	1	Oxford 5000 by CEFR Level (American English)
B2	convincing	adj.	1	Oxford 5000 by CEFR Level (American English)
B2	cop	n.	1	Oxford 5000 by CEFR Level (American English)
B2	cope	v.	1	Oxford 5000 by CEFR Level (American English)
B2	corporation	n.	1	Oxford 5000 by CEFR Level (American English)
B2	corridor	n.	1	Oxford 5000 by CEFR Level (American English)
B2	counter (long flat surface)	n.	1	Oxford 5000 by CEFR Level (American English)
B2	coverage	n.	1	Oxford 5000 by CEFR Level (American English)
B2	cowboy	n.	1	Oxford 5000 by CEFR Level (American English)
B2	crack	v., n.	1	Oxford 5000 by CEFR Level (American English)
B2	craft	n.	1	Oxford 5000 by CEFR Level (American English)
B2	creativity	n.	1	Oxford 5000 by CEFR Level (American English)
B2	critically	adv.	1	Oxford 5000 by CEFR Level (American English)
B2	cruise	n., v.	1	Oxford 5000 by CEFR Level (American English)
B2	cue	n.	1	Oxford 5000 by CEFR Level (American English)
